"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","919","","","","0"
"2016","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","951","","","","0"
"2017","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","934","","","","0"
"2018","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","955","","","","0"
"2019","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","960","","","","0"
"2020","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","971","","","","0"
"2021","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","1018","","","","0"
"2022","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","1033","","","","0"
"2023","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","1189","","","","0"
"2024","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","1242","","","","0"
"2025","St. John's, Newfoundland and Labrador","2011S0503001","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823098","6.3.3","1348","","","","0"
"2015","St. John's, Newfoundland and Labrador","2011S0503001","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823634","6.2.3","806","","","","0"
