"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1048","","","","0"
"2016","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1063","","","","0"
"2017","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1109","","","","0"
"2018","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1156","","","","0"
"2019","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1202","","","","0"
"2020","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1254","","","","0"
"2021","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1334","","","","0"
"2022","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1449","","","","0"
"2023","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1626","","","","0"
"2024","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1708","","","","0"
"2025","Halifax, Nova Scotia","2011S0503205","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823085","10.3.3","1828","","","","0"
"2015","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1061","","","","0"
"2016","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1090","","","","0"
"2017","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1091","","","","0"
"2018","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1200","","","","0"
"2019","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1216","","","","0"
"2020","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1204","","","","0"
"2021","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1075","","","","0"
"2022","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1376","","","","0"
"2023","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1399","","","","0"
"2024","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1745","","","","0"
"2025","Halifax, Nova Scotia","2011S0503205","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823621","10.2.3","1956","","","","0"
"2015","Halifax, Nova Scotia","2011S0503205","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824157","10.1.3","1048","","","","0"
"2016","Halifax, Nova Scotia","2011S0503205","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824157","10.1.3","1063","","","","0"
"2017","Halifax, Nova Scotia","2011S0503205","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824157","10.1.3","1109","","","","0"
"2018","Halifax, Nova Scotia","2011S0503205","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824157","10.1.3","1156","","","","0"
"2019","Halifax, Nova Scotia","2011S0503205","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824157","10.1.3","1202","","","","0"
"2020","Halifax, Nova Scotia","2011S0503205","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824157","10.1.3","1255","","","","0"
