"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","762","","","","0"
"2016","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","799","","","","0"
"2017","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","804","","","","0"
"2018","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","832","","","","0"
"2019","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","871","","","","0"
"2020","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","949","","","","0"
"2021","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","1042","","","","0"
"2022","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","1120","","","","0"
"2023","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","1236","","","","0"
"2024","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","1365","","","","0"
"2025","Moncton, New Brunswick","2011S0503305","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823127","20.3.3","1452","","","","0"
"2015","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","809","","","","0"
"2016","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","841","","","","0"
"2017","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","844","","","","0"
"2018","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","885","","","","0"
"2019","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","924","","","","0"
"2020","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","962","","","","0"
"2021","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","1000","","","","0"
"2022","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","","F","","","0"
"2023","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","1359","","","","0"
"2024","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","1619","","","","0"
"2025","Moncton, New Brunswick","2011S0503305","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823663","20.2.3","1419","","","","0"
"2015","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","760","","","","0"
"2016","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","798","","","","0"
"2017","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","803","","","","0"
"2018","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","831","","","","0"
"2019","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","870","","","","0"
"2020","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","949","","","","0"
"2021","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","1043","","","","0"
"2022","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","1111","","","","0"
"2023","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","1232","","","","0"
"2024","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","1353","","","","0"
"2025","Moncton, New Brunswick","2011S0503305","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824199","20.1.3","1453","","","","0"
