"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","718","","","","0"
"2016","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","720","","","","0"
"2017","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","746","","","","0"
"2018","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","755","","","","0"
"2019","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","797","","","","0"
"2020","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","825","","","","0"
"2021","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","888","","","","0"
"2022","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","1019","","","","0"
"2023","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","1093","","","","0"
"2024","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","1229","","","","0"
"2025","Saint John, New Brunswick","2011S0503310","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823097","22.3.3","1290","","","","0"
"2015","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2016","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2017","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2018","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2019","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2020","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2021","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2022","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2023","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2024","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2025","Saint John, New Brunswick","2011S0503310","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823633","22.2.3","","F","","","0"
"2015","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","718","","","","0"
"2016","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","720","","","","0"
"2017","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","747","","","","0"
"2018","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","755","","","","0"
"2019","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","797","","","","0"
"2020","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","825","","","","0"
"2021","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","888","","","","0"
"2022","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","1020","","","","0"
"2023","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","1094","","","","0"
"2024","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","1229","","","","0"
"2025","Saint John, New Brunswick","2011S0503310","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824169","22.1.3","1290","","","","0"
"2015","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","730","","","","0"
"2016","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","732","","","","0"
"2017","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","764","","","","0"
"2018","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","771","","","","0"
"2019","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","826","","","","0"
"2020","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","847","","","","0"
"2021","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","911","","","","0"
"2022","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","1052","","","","0"
"2023","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","1107","","","","0"
"2024","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","1278","","","","0"
"2025","Saint John, New Brunswick","2011S0503310","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824813","22.4.3","1350","","","","0"


