"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2016","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","384300","","","","0"
"2016/2017","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","380554","","","","0"
"2017/2018","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","377163","","","","0"
"2018/2019","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","373307","","","","0"
"2019/2020","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","371321","","","","0"
"2020/2021","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","362563","","","","0"
"2021/2022","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","364449","","","","0"
"2022/2023","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","352676","","","","0"
"2023/2024","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","361770","","","","0"
"2024/2025","Canada","2021A00001124","Births","Total - gender","All ages","Persons","249","units","0","v1589930823","1.1.1.1","368928","","","","0"
"2015/2016","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","262278","","","","0"
"2016/2017","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","274517","","","","0"
"2017/2018","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","283939","","","","0"
"2018/2019","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","283148","","","","0"
"2019/2020","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","297195","","","","0"
"2020/2021","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","307297","","","","0"
"2021/2022","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","324879","","","","0"
"2022/2023","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","332449","","","","0"
"2023/2024","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","330496","","","","0"
"2024/2025","Canada","2021A00001124","Deaths","Total - gender","All ages","Persons","249","units","0","v1589931165","1.2.1.1","334699","","","","0"
"2015/2016","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","323188","","","","0"
"2016/2017","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","272694","","","","0"
"2017/2018","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","303369","","","","0"
"2018/2019","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","313603","","","","0"
"2019/2020","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","284153","","","","0"
"2020/2021","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","226314","","","","0"
"2021/2022","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","493236","","","","0"
"2022/2023","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","468913","","","","0"
"2023/2024","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","464344","","","","0"
"2024/2025","Canada","2021A00001124","Immigrants","Total - gender","All ages","Persons","249","units","0","v1589931507","1.3.1.1","435421","","","","0"
"2015/2016","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","54897","","","","0"
"2016/2017","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","56480","","","","0"
"2017/2018","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","39865","","","","0"
"2018/2019","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","34966","","","","0"
"2019/2020","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","31669","","","","0"
"2020/2021","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","25726","","","","0"
"2021/2022","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","47253","","","","0"
"2022/2023","Canada","2021A00001124","Net emigration","Total - gender","All ages","Persons","249","units","0","v1589931849","1.4.1.1","61709","","","","0"
