"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","340","A","","","0"
"2016","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","344","A","","","0"
"2017","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","346","A","","","0"
"2018","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","351","A","","","0"
"2019","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","354","A","","","0"
"2020","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","356","A","","","0"
"2021","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","361","A","","","0"
"2022","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","371","A","","","0"
"2023","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421048","6.1.1.1","383","A","","","0"
"2015","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","28274","A","","","0"
"2016","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","28809","A","","","0"
"2017","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","30039","A","","","0"
"2018","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","31281","A","","","0"
"2019","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","31025","A","","","0"
"2020","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","33101","A","","","0"
"2021","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","33680","A","","","0"
"2022","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","32918","A","","","0"
"2023","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421049","6.1.1.2","33775","A","","","0"
"2015","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421050","6.1.1.3","83200","A","","","0"
"2016","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421050","6.1.1.3","83800","A","","","0"
"2017","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421050","6.1.1.3","86700","A","","","0"
"2018","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421050","6.1.1.3","89200","A","","","0"
"2019","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421050","6.1.1.3","87600","A","","","0"
"2020","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421050","6.1.1.3","92900","A","","","0"
