"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","65","A","","","0"
"2016","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","66","A","","","0"
"2017","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","68","A","","","0"
"2018","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","69","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","70","A","","","0"
"2020","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","71","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","73","A","","","0"
"2022","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","76","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419368","4.1.1.1","79","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","5534","A","","","0"
"2016","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","5575","B","","","0"
"2017","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","5892","A","","","0"
"2018","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","6080","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","6237","A","","","0"
"2020","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","6673","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","6870","A","","","0"
"2022","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","6976","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419369","4.1.1.2","7227","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","85700","A","","","0"
"2016","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","84200","B","","","0"
"2017","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","86800","A","","","0"
"2018","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","87800","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","88600","A","","","0"
"2020","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","93400","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","93700","A","","","0"
"2022","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","92100","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419370","4.1.1.3","91700","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","72200","B","","","0"
"2016","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","67500","B","","","0"
"2017","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","68700","B","","","0"
"2018","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","71700","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","74300","B","","","0"
"2020","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","76600","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","80100","B","","","0"
"2022","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","75600","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419371","4.1.1.4","74200","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","42","A","","","0"
"2016","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","43","A","","","0"
"2017","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","44","A","","","0"
"2018","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","45","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","45","A","","","0"
"2020","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","46","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","47","A","","","0"
"2022","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","48","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families","Total income","Number with income","Number","223","thousands","3","v96419428","4.2.1.1","50","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","4668","B","","","0"
"2016","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","4610","B","","","0"
"2017","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","4938","A","","","0"
"2018","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5059","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5072","A","","","0"
"2020","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5481","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5593","A","","","0"
"2022","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5720","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5906","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","110100","B","","","0"
"2016","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","106800","B","","","0"
"2017","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","112200","A","","","0"
