"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","231","A","","","0"
"2016","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","232","A","","","0"
"2017","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","233","A","","","0"
"2018","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","234","A","","","0"
"2019","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","235","A","","","0"
"2020","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","235","A","","","0"
"2021","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","236","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","240","A","","","0"
"2023","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96418528","3.1.1.1","245","A","","","0"
"2015","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","23650","B","","","0"
"2016","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","22947","A","","","0"
"2017","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","22944","A","","","0"
"2018","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","22767","A","","","0"
"2019","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","22707","B","","","0"
"2020","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","23447","A","","","0"
"2021","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","23797","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","23448","A","","","0"
"2023","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96418529","3.1.1.2","23983","A","","","0"
"2015","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","102300","B","","","0"
"2016","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","98700","A","","","0"
"2017","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","98500","A","","","0"
"2018","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","97100","A","","","0"
"2019","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","96700","B","","","0"
"2020","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","99800","A","","","0"
"2021","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","100800","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","97700","A","","","0"
"2023","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96418530","3.1.1.3","98100","A","","","0"
"2015","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","74300","B","","","0"
"2016","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","79700","B","","","0"
"2017","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","73800","B","","","0"
"2018","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","76500","B","","","0"
"2019","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","72300","B","","","0"
"2020","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","77200","B","","","0"
"2021","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","78600","B","","","0"
"2022","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","74000","A","","","0"
"2023","Newfoundland and Labrador","2021A000210","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418531","3.1.1.4","74300","A","","","0"
