"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","427","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","432","A","","","0"
"2017","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","438","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","443","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","448","A","","","0"
"2020","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","451","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","457","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","468","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420208","5.1.1.1","481","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","37505","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","38254","A","","","0"
"2017","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","38471","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","39175","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","39536","A","","","0"
"2020","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","42137","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","43204","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","42268","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420209","5.1.1.2","44103","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","87800","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","88500","A","","","0"
"2017","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","87900","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","88500","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","88300","A","","","0"
"2020","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","93500","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","94600","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","90300","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420210","5.1.1.3","91600","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","67500","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","68400","B","","","0"
"2017","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","68400","B","","","0"
"2018","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","68000","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","68900","A","","","0"
"2020","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","76000","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","76700","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","70300","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","72600","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","266","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","268","A","","","0"
"2017","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","269","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","271","A","","","0"
