"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","37065084","","","","0"
"2019","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","37601230","","","","0"
"2020","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38007166","","","","0"
"2021","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38226498","","","","0"
"2022","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38929902","","","","0"
"2018","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","30979059","","","","0"
"2019","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","31490790","","","","0"
"2020","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","31868844","","","","0"
"2021","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","32029012","","","","0"
"2022","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","32668295","","","","0"
"2018","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","26495266","","","","0"
"2019","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","26963470","","","","0"
"2020","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","27305747","","","","0"
"2021","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","27433020","","","","0"
"2022","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","28006624","","","","0"
"2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","212344","","","","0"
"2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","213113","","","","0"
"2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","213919","","","","0"
"2021","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","214267","","","","0"
