"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","35704498","","","","0"
"2016","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","36110803","","","","0"
"2017","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","36545075","","","","0"
"2018","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","37072620","","","","0"
"2019","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","37618495","","","","0"
"2020","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","38028638","","","","0"
"2021","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","38239864","","","","0"
"2022","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","38950132","","","","0"
"2023","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","40049088","","","","0"
"2024","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","41262329","","","","0"
"2025","Canada","2021A00001124","Total - gender","All ages","Persons","249","units","0","v1589858367","1.1.1","41651653","","","","0"
"2015","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","29790587","","","","0"
"2016","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","30172286","","","","0"
"2017","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","30578473","","","","0"
"2018","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","31068031","","","","0"
"2019","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","31574160","","","","0"
"2020","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","31942223","","","","0"
"2021","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","32089899","","","","0"
"2022","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","32734767","","","","0"
"2023","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","33776803","","","","0"
"2024","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","34926482","","","","0"
"2025","All census metropolitan areas and census agglomerations, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928402","2.1.1","35272005","","","","0"
"2015","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","26105262","","","","0"
"2016","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","26465386","","","","0"
"2017","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","26842398","","","","0"
"2018","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","27297406","","","","0"
"2019","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","27768376","","","","0"
"2020","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","28108222","","","","0"
"2021","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","28222191","","","","0"
"2022","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","28815714","","","","0"
"2023","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","29789257","","","","0"
"2024","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","30859870","","","","0"
"2025","All census metropolitan areas, Canada","","Total - gender","All ages","Persons","249","units","0","v1589928747","3.1.1","31169100","","","","0"
"2015","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","211992","","","","0"
"2016","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","213775","","","","0"
"2017","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","215534","","","","0"
"2018","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","216404","","","","0"
"2019","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","217821","","","","0"
"2020","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","219282","","","","0"
