"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","238","","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","419","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","552","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","488","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","172","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","390","","","","0"
"2016-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","455","","","","0"
"2016-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","381","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","112","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","310","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","469","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","509","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","199","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","237","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","399","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","261","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","58","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","217","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","315","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","355","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","60","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","132","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","285","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","286","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","155","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","305","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","263","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","298","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","223","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","363","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","458","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","335","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","100","","","","0"
