"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","5556","","","","0"
"2015-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","6338","","","","0"
"2015-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","7337","","","","0"
"2015-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","7422","","","","0"
"2016-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","6663","","","","0"
"2016-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","6284","","","","0"
"2016-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","6845","","","","0"
"2016-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","6631","","","","0"
"2017-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","6381","","","","0"
"2017-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","6723","","","","0"
"2017-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","7574","","","","0"
"2017-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","7824","","","","0"
"2018-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","7250","","","","0"
"2018-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","7282","","","","0"
"2018-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","8211","","","","0"
"2018-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","8168","","","","0"
"2019-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","7701","","","","0"
"2019-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","8318","","","","0"
"2019-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","9749","","","","0"
"2019-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","9749","","","","0"
"2020-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","9489","","","","0"
"2020-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","8753","","","","0"
"2020-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","10340","","","","0"
"2020-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","11054","","","","0"
"2021-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","10701","","","","0"
"2021-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","11274","","","","0"
"2021-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","11803","","","","0"
"2021-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","13337","","","","0"
"2022-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","12685","","","","0"
"2022-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","14024","","","","0"
"2022-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","14828","","","","0"
"2022-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819028","2","14049","","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","1315","","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","1158","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","1192","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","1173","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","980","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","867","","","","0"
"2016-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","886","","","","0"
"2016-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","883","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","798","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","755","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","838","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","945","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","859","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","802","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","805","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","714","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","567","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","537","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","608","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","652","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","573","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","399","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","478","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","510","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","457","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","487","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","513","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","543","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","546","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","583","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","671","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819029","3","656","","","","0"
"2015-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","230","","","","0"
"2015-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","228","","","","0"
"2015-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","293","","","","0"
"2015-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","398","","","","0"
"2016-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","266","","","","0"
"2016-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","319","","","","0"
"2016-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","341","","","","0"
"2016-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","309","","","","0"
"2017-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","313","","","","0"
"2017-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","289","","","","0"
"2017-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","424","","","","0"
"2017-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","478","","","","0"
"2018-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","404","","","","0"
"2018-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","475","","","","0"
"2018-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","512","","","","0"
"2018-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","560","","","","0"
"2019-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","479","","","","0"
"2019-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","595","","","","0"
"2019-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","947","","","","0"
"2019-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","1110","","","","0"
"2020-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","1083","","","","0"
"2020-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","1065","","","","0"
"2020-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","1158","","","","0"
"2020-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","999","","","","0"
"2021-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","809","","","","0"
"2021-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","718","","","","0"
"2021-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","731","","","","0"
"2021-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","766","","","","0"
"2022-01","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","623","","","","0"
"2022-04","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","726","","","","0"
"2022-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","748","","","","0"
"2022-10","Prince Edward Island","2016A000211","Units","300","units","0","v15819030","4","686","","","","0"
"2015-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","2615","","","","0"
"2015-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","3622","","","","0"
"2015-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4221","","","","0"
"2015-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4120","","","","0"
"2016-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4031","","","","0"
"2016-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4092","","","","0"
"2016-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4571","","","","0"
"2016-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4346","","","","0"
"2017-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4242","","","","0"
"2017-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4501","","","","0"
"2017-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4838","","","","0"
"2017-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4726","","","","0"
"2018-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4614","","","","0"
"2018-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","4526","","","","0"
"2018-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","5338","","","","0"
"2018-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","5376","","","","0"
"2019-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","5438","","","","0"
"2019-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","5601","","","","0"
"2019-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","6061","","","","0"
"2019-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","5813","","","","0"
"2020-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","5916","","","","0"
"2020-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","5540","","","","0"
"2020-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","6140","","","","0"
"2020-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","6439","","","","0"
"2021-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","6595","","","","0"
"2021-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","6556","","","","0"
"2021-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","6649","","","","0"
"2021-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","7583","","","","0"
"2022-01","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","7578","","","","0"
"2022-04","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","8419","","","","0"
"2022-07","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","8559","","","","0"
"2022-10","Nova Scotia","2016A000212","Units","300","units","0","v15819031","5","7891","","","","0"
"2015-01","New Brunswick","2016A000213","Units","300","units","0","v15819032","6","1396","","","","0"
"2015-04","New Brunswick","2016A000213","Units","300","units","0","v15819032","6","1330","","","","0"
"2015-07","New Brunswick","2016A000213","Units","300","units","0","v15819032","6","1631","","","","0"
"2015-10","New Brunswick","2016A000213","Units","300","units","0","v15819032","6","1731","","","","0"
"2016-01","New Brunswick","2016A000213","Units","300","units","0","v15819032","6","1386","","","","0"
"2016-04","New Brunswick","2016A000213","Units","300","units","0","v15819032","6","1006","","","","0"
